,sensor,target,mask,mae,r2
0,R1,NO_conc,True,0.005766823583888629,0.9911122823606913
1,R1,NO_conc,False,0.007141320785832784,0.9904365867215779
2,R1,CH4_conc,True,0.004117752024263301,0.9977570050988143
3,R1,CH4_conc,False,0.003611012164444205,0.9984246521838634
4,R1,H2S_conc,True,0.0001643903057726602,0.9924773493232609
5,R1,H2S_conc,False,0.0001839736496645306,0.990342952296228
6,R1,SO2_conc,True,0.0004025907838155352,0.5692494744874387
7,R1,SO2_conc,False,0.0004462673053854988,0.4955462406595745
8,R1,HCOH_conc,True,0.000351815059115647,0.9110381296011808
9,R1,HCOH_conc,False,0.0001696810446797855,0.9794490306827914
10,R1,CO_conc,True,0.0005782531509008357,0.9843189514318944
11,R1,CO_conc,False,0.0002991792582410324,0.9954465029437419
12,R1,H2_conc,True,0.001191317440104233,0.9995273816045978
13,R1,H2_conc,False,0.0005529326180774706,0.9997661263951153
14,R1,NO2_conc,True,0.0005243610439161774,0.9854500106692645
15,R1,NO2_conc,False,0.0004443058724559489,0.9875310654698621
16,R1,NH3_conc,True,0.00196188972740577,0.9995322102912824
17,R1,NH3_conc,False,0.001756056134032194,0.9995747299523384
18,R2,NO_conc,True,0.006290525247259115,0.9941103902227159
19,R2,NO_conc,False,0.003608285777625583,0.9970957880333728
20,R2,CH4_conc,True,0.00297364398442879,0.9986398134038569
21,R2,CH4_conc,False,0.003457271828064843,0.998654322195568
22,R2,H2S_conc,True,0.0002502552972584175,0.9757798175607391
23,R2,H2S_conc,False,0.0001345835564786164,0.9959122360221908
24,R2,SO2_conc,True,0.0004886260203709679,0.481457267416142
25,R2,SO2_conc,False,0.0006046103404480078,0.3374518015439145
26,R2,HCOH_conc,True,0.0002217346647429087,0.9659070861153904
27,R2,HCOH_conc,False,0.0001004341050272896,0.990853955318824
28,R2,CO_conc,True,0.0006198230312141793,0.980975912121415
29,R2,CO_conc,False,0.0003909081460267463,0.9921612652637463
30,R2,H2_conc,True,0.00152565515325183,0.9979642318432369
31,R2,H2_conc,False,0.0005618783120046223,0.9998947564303107
32,R2,NO2_conc,True,0.0004815058110409944,0.9838384432795992
33,R2,NO2_conc,False,0.000238976553413603,0.9960201885671404
34,R2,NH3_conc,True,0.001243024660402505,0.9995955909749382
35,R2,NH3_conc,False,0.001341917653563162,0.9997407436341199
36,R3,NO_conc,True,0.003726999868476202,0.9952134982375946
37,R3,NO_conc,False,0.003729972451008738,0.9975386471998852
38,R3,CH4_conc,True,0.006334833156258341,0.992549066850419
